Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pygments/modeline.py:1(<module>)
      140    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:503(perform_replacemenet)
       30    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5912(__init__)
      190    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/contextlib.py:279(helper)
      982    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/typing_extensions.py:169(_should_collect_from_parameters)
      104    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/enum.py:986(__and__)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/graph_objs/_deprecations.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/validators/layout/shape/line/_dash.py:5(__init__)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/alias.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/utils/decorators.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/release.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/utils/decorators.py:1041(signature)
      705    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:2265(__init__)
        7    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/dataclasses.py:623(_cmp_fn)
       49    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/named_commands.py:40(decorator)
      288    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/BayesianNetwork.py:268(get_cpds)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/layout/containers.py:1403(Window)
       49    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/algorithms/chordal.py:309(_max_cardinality_node)
        6    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5347(<listcomp>)
     1342    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_parse.py:250(match)
     3847    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/paths.py:1(<module>)
       21    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:1323(__class_getitem__)
      635    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/coreviews.py:80(__getitem__)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/_version.py:1(<module>)
       52    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/shutil.py:1385(get_terminal_size)
       40    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:394(validate_coerce)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/asttokens/util.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/functools.py:844(register)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/interactiveshell.py:288(InteractiveShell)
        7    0.000    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/graph.py:563(add_nodes_from)
      634    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
        1    0.000    0.000    0.001    0.001 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/buffer.py:177(Buffer)
      114    0.001    0.000    0.001    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/utils/state_name.py:53(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_fev1/pred_fev1.py:7(calc_hfev1_prior)
     4452    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/stack_data/core.py:480(FrameInfo)
       90    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/numeric.py:67(zeros_like)
      472    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/coreviews.py:272(<genexpr>)
       25    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/algorithms/cycles.py:869(find_cycle)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/offline/offline.py:110(_get_jconfig)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/output/plain_text.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/graph.py:961(add_edges_from)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/tools.py:693(get_config_plotly_server_url)
      188    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/contextlib.py:130(__enter__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/compiled/access.py:1(<module>)
      145    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/guarded_eval.py:418(_find_dunder)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/utils/io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/mimetypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/stack_data/utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/history.py:130(HistoryAccessor)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/magics/display.py:26(DisplayMagics)
       12    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/algorithms/components/connected.py:191(_plain_bfs)
       12    0.000    0.000    0.000    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/inference/helpers.py:48(get_bin_for_value)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/lazy_value.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/flow_analysis.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/base/UndirectedGraph.py:109(add_nodes_from)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/styles/style.py:1(<module>)
     3312    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      325    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/enum.py:359(__call__)
      156    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1479    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:1031(__eq__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/history.py:479(HistoryManager)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/api/project.py:1(<module>)
        3    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:1773(get_type_hints)
      914    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:415(__call__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/filters/base.py:1(<module>)
      332    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
      328    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/utils/state_name.py:89(del_state_names)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/renderer.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/graph_objs/_bar.py:2483(__init__)
       40    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5895(__init__)
      107    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/posixpath.py:71(join)
     1113    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/_ufunc_config.py:426(__init__)
       71    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:952(data)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/output/vt100.py:1(<module>)
       66    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/ast.py:33(parse)
       63    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5816(__getattr__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      332    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:534(__init__)
      623    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      813    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1378    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      547    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/reportviews.py:185(__iter__)
        5    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/inspect.py:3206(__str__)
      139    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/filters/base.py:22(__and__)
       22    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/enum.py:165(__prepare__)
       48    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/locale.py:396(normalize)
      381    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/coreviews.py:274(__iter__)
      834    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:77(_make_hyphen_key)
       24    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/argparse.py:1450(add_argument_group)
      216    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/os.py:675(__getitem__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/utils/openpy.py:1(<module>)
      102    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/base/UndirectedGraph.py:68(__init__)
       10    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:2240(<listcomp>)
     1508    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/inspect.py:191(isclass)
  295/281    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      319    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/coreviews.py:313(__getitem__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/plugins/stdlib.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/importers.py:4(relative_import)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/displaypub.py:1(<module>)
       98    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:2675(_relayout_child)
      367    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/enum.py:470(__setattr__)
        6    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/base/DAG.py:676(active_trail_nodes)
     1139    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_parse.py:173(append)
       40    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:55(copy_to_readonly_numpy_array)
      914    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:86(_make_underscore_key)
       25    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5809(_get_prop_validator)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:466(BaseDescriptor)
      623    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1367    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_parse.py:161(__len__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/socketserver.py:1(<module>)
       56    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/function.py:1112(selfloop_edges)
      198    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:253(_deduplicate)
      634    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/shortcuts/progress_bar/formatters.py:1(<module>)
       63    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/filters/base.py:66(__missing__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/value/instance.py:1(<module>)
      914    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:19(_reducer)
       24    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/argparse.py:1627(__init__)
      260    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_compile.py:447(_simple)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/json/__init__.py:274(load)
       35    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:801(__init__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/eventloop/inputhook.py:1(<module>)
      534    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:501(subclass_init)
      177    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/base/UndirectedGraph.py:71(add_node)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/styles/base.py:1(<module>)
      190    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/widgets/menus.py:1(<module>)
     1040    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        6    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:436(normalize)
  667/566    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5160(_in_batch_mode)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/parso/python/prefix.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/base/DAG.py:133(add_nodes_from)
       76    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/models/ClusterGraph.py:105(add_edge)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/config/loader.py:787(ArgParseConfigLoader)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/lib/_datasource.py:155(open)
       96    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:2095(__init__)
      834    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:108(<lambda>)
       28    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/inspect.py:2721(__str__)
       22    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/enum.py:222(<setcomp>)
       63    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/digraph.py:1297(<genexpr>)
      199    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_compile.py:265(_compile_charset)
       63    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/digraph.py:1288(<genexpr>)
     2188    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2974(_prod_dispatcher)
      108    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:1234(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/backcall/__init__.py:1(<module>)
      109    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/graph.py:332(__init__)
       49    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/key_binding/key_bindings.py:477(decorator)
       47    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/scipy/stats/_continuous_distns.py:361(_pdf)
      243    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_parse.py:356(_escape)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/latex_symbols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/data_structures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/application/current.py:1(<module>)
       37    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:2951(__init__)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/pkgutil.py:599(get_data)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pure_eval/core.py:22(Evaluator)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/macro.py:1(<module>)
      834    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/utils.py:411(_Chomper)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       47    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/scipy/stats/_continuous_distns.py:300(_norm_pdf)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/key_binding/bindings/page_navigation.py:1(<module>)
      107    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/inspect.py:2637(__init__)
      793    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/sre_parse.py:287(tell)
      392    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/filters/utils.py:21(to_filter)
        2    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/re.py:232(findall)
     3017    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:2469(present)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/layout/controls.py:504(BufferControl)
       98    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      914    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:117(<lambda>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/output/color_depth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/lib/display.py:1(<module>)
     1263    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       17    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/guarded_eval.py:623(_list_methods)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/magics/config.py:1(<module>)
       49    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/key_binding/key_bindings.py:105(__init__)
      112    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5592(_vals_equal)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/debug.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/input/ansi_escape_sequences.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/logging/handlers.py:1(<module>)
     2204    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      443    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/coreviews.py:316(new_node_ok)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/utils/text.py:556(DollarFormatter)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/document.py:84(Document)
      316    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/factors/discrete/DiscreteFactor.py:367(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/magics/packaging.py:1(<module>)
     2534    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:4384(plotly_name)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/jedi/inference/gradual/annotation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/selection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/prompt_toolkit/cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/payload.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/parso/utils.py:1(<module>)
       92    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/interactiveshell.py:188(TerminalInteractiveShell)
       13    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/algorithms/traversal/edgedfs.py:17(edge_dfs)
       21    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/importers.py:21(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/core/displayhook.py:1(<module>)
      114    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/basevalidators.py:754(validate_coerce)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/parso/python/token.py:1(<module>)
      447    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
     1465    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/typing.py:1022(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/prompts.py:1(<module>)
      282    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/networkx/classes/digraph.py:906(predecessors)
        6    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/shortcuts/filters.py:131(following_text)
      787    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       38    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/argparse.py:626(_expand_help)
       33    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/inspect.py:1349(formatannotation)
       37    0.000    0.000    0.000    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/traitlets/traitlets.py:2776(__init__)
