Thu Jan 18 14:07:22 2024    output.prof

         28111098 function calls (19759108 primitive calls) in 46.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.390    0.390 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/offline/__init__.py:1(<module>)
        1    0.000    0.000    0.388    0.388 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/offline/offline.py:1(<module>)
        1    0.000    0.000    0.387    0.387 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/tools.py:1(<module>)
     1150    0.000    0.000    0.385    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/_plotly_utils/optional_imports.py:15(get_module)
        1    0.000    0.000    0.383    0.383 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/__init__.py:1(<module>)
        1    0.000    0.000    0.345    0.345 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/o2satffa.py:37(calc_cpt)
        1    0.004    0.004    0.345    0.345 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/o2satffa.py:50(calc_cpt_X_x_funcY)
      900    0.005    0.000    0.332    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/o2satffa.py:173(get_bin_contribution_to_cpt)
      900    0.009    0.000    0.318    0.000 /Users/tristan.trebaol/Desktop/PhD/Code/phd/src/modelling_o2/o2satffa.py:124(get_intersecting_bins_idx)
      900    0.001    0.000    0.305    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:1595(_array_str_implementation)
      900    0.002    0.000    0.304    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:561(array2string)
      900    0.002    0.000    0.297    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:506(wrapper)
      900    0.003    0.000    0.295    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/numpy/core/arrayprint.py:523(_array2string)
        1    0.000    0.000    0.291    0.291 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/IPython/terminal/embed.py:1(<module>)
        6    0.000    0.000    0.235    0.039 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/pgmpy/inference/ExactInference.py:24(_get_working_factors)
       37    0.000    0.000    0.235    0.006 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:5095(update)
      623    0.004    0.000    0.217    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    95/74    0.001    0.000    0.208    0.003 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:3840(_perform_update)
1757/1346    0.006    0.000    0.198    0.000 /Applications/anaconda3/envs/phd/lib/python3.10/site-packages/plotly/basedatatypes.py:4658(__getitem__)
